class_id,class_name
0,n03146219
1,n01751748
2,n01871265
3,n07836838
4,n01770393
5,n03871628
6,n02074367
7,n02640242
8,n09193705
9,n07693725
10,n02808304
11,n04111531
12,n04590129
13,n02115913
14,n03476684
15,n02111129
16,n02483708
17,n01677366
18,n12985857
19,n13044778
20,n03891332
21,n04501370
22,n01644373
23,n02168699
24,n04356056
25,n02641379
26,n03109150
27,n02966687
28,n04154565
29,n04147183
30,n03874293
31,n02129165
32,n02871525
33,n03599486
34,n04493381
35,n02112706
36,n02093428
37,n04037443
38,n02486261
39,n01774750
40,n02802426
41,n03724870
42,n02389026
43,n02105855
44,n07753113
45,n04200800
46,n02095889
47,n02951585
48,n02086079
49,n02096585
50,n02002724
51,n03825788
52,n03271574
53,n03791053
54,n02095314
55,n04067472
56,n07613480
57,n07718747
58,n04613696
59,n01608432
60,n02011460
61,n01491361
62,n07583066
63,n02500267
64,n02133161
65,n02107908
66,n02102973
67,n01688243
68,n01773797
69,n01807496
70,n02655020
71,n04310018
72,n02110627
73,n02108089
74,n03657121
75,n02110185
76,n03937543
77,n02403003
78,n03803284
79,n03220513
80,n02894605
81,n02092339
82,n07716358
83,n04606251
84,n04254777
85,n02113978
86,n02111889
87,n02791124
88,n03930630
89,n02786058
90,n03876231
91,n02085620
92,n02363005
93,n03895866
94,n02138441
95,n02492660
96,n02077923
97,n03063599
98,n03376595
99,n02098413
100,n02090622
101,n01872401
102,n11879895
103,n02643566
104,n02892201
105,n07714990
106,n01755581
107,n10565667
108,n07880968
109,n02951358
110,n03954731
111,n07614500
112,n01945685
113,n04428191
114,n04238763
115,n03942813
116,n03637318
117,n04275548
118,n01818515
119,n04162706
120,n02804610
121,n02093991
122,n07932039
123,n02165105
124,n01806143
125,n01692333
126,n02100735
127,n01978287
128,n03141823
129,n02096051
130,n09468604
131,n03998194
132,n01667778
133,n02276258
134,n04266014
135,n02837789
136,n03445777
137,n03970156
138,n01984695
139,n07697537
140,n02804414
141,n02037110
142,n12144580
143,n03721384
144,n03345487
145,n03249569
146,n07716906
147,n02113799
148,n06596364
149,n03160309
150,n02823750
151,n03967562
152,n02091467
153,n02110063
154,n07747607
155,n03355925
156,n03467068
157,n01978455
158,n04443257
159,n02107574
160,n02112137
161,n03498962
162,n01631663
163,n02114548
164,n04041544
165,n04612504
166,n02089973
167,n02106166
168,n01582220
169,n07920052
170,n07717410
171,n02120505
172,n04515003
173,n04019541
174,n03661043
175,n04371430
176,n01749939
177,n01873310
178,n01704323
179,n03920288
180,n02093859
181,n03710637
182,n04270147
183,n03127925
184,n03794056
185,n02025239
186,n02692877
187,n04355338
188,n01498041
189,n02992211
190,n01560419
191,n03017168
192,n04389033
193,n07697313
194,n02950826
195,n02823428
196,n02783161
197,n04435653
198,n03785016
199,n02412080
200,n03272010
201,n01614925
202,n03047690
203,n02391049
204,n02101388
205,n02114855
206,n04336792
207,n02027492
208,n01829413
209,n02259212
210,n03028079
211,n03000684
212,n02916936
213,n04264628
214,n09288635
215,n03991062
216,n01537544
217,n03775546
218,n03742115
219,n01739381
220,n01694178
221,n01558993
222,n03041632
223,n01740131
224,n04532106
225,n02128925
226,n03676483
227,n02814533
228,n03792972
229,n03891251
230,n03777754
231,n03042490
232,n01943899
233,n01496331
